ally_has_adc_core,ally_has_single_core,ally_missing_cc,ally_missing_frontline,execution_difficulty,ally_tank_count,ally_assassin_count,ally_mage_count,ally_engage_count,ally_cc_count,ally_mobility_count,ally_physical_ratio,ally_magic_ratio,hero_dpm,hero_damage_pct,hero_forward_pct,hero_kda,hero_kp,hero_dpm_per_gold,hero_is_assassin,hero_is_tank,hero_is_mage,hero_has_engage,hero_has_mobility,hero_has_burst,avg_matchup_win_rate,worst_matchup_win_rate,stage_early,stage_mid,stage_late,counter_label
1,0,1,0,0.6,1,1,0,1,1,1,1.0,0.0,7149.443840990203,27.04317643595536,24.449852537076925,3.333333333333333,77.85984848484847,15.640286105607892,0,0,0,0,0,0,0.5,0.5,0,1,0,1
1,0,0,0,0.6,1,1,0,2,2,1,1.0,0.0,6776.222905824061,23.337675466264717,38.23717187873066,3.916666666666667,60.22727272727273,17.45833405455256,0,0,0,0,0,0,0.5,0.5,0,1,0,1
1,0,0,0,0.6,1,1,0,2,2,1,1.0,0.0,6327.840369391377,22.15739765692383,33.3140493660677,6.2,70.20021645021644,14.828425701011758,0,0,1,0,1,0,0.5,0.5,0,1,0,1
1,0,0,0,0.6,1,1,0,2,2,1,1.0,0.0,684.7074954296161,2.437771843925585,38.48619744058501,20.0,90.9090909090909,2.345387939132068,0,0,0,0,0,0,0.5,0.5,0,1,0,1
1,0,0,0,0.6,1,1,0,2,2,1,1.0,0.0,7047.28148161088,26.01507990581744,30.24973283581926,3.75,81.96969696969697,20.15608032616465,0,1,0,0,0,0,0.5,0.5,0,1,0,1
1,0,0,0,0.6,1,1,0,2,2,1,1.0,0.0,7149.443840990203,27.04317643595536,24.449852537076925,3.333333333333333,77.85984848484847,15.640286105607892,0,0,0,0,0,0,0.5,0.5,0,1,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,6098.522445086769,19.517727658332067,41.30832694936186,9.0,40.909090909090914,14.752314814814817,0,0,0,1,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,5556.84563504182,19.63738295065067,28.33777932342755,7.35,64.91978609625669,13.180281885960476,1,0,0,0,1,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,927.2371544164762,3.3153596825043667,26.428976367871577,4.2125,82.93544690603514,3.4622904481652568,0,0,1,1,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,10262.353317069046,32.84366319541922,25.45936684116484,18.0,81.81818181818183,23.3728296403923,1,0,0,1,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,7802.057066554315,26.67221892941336,21.09034483363937,10.25,66.44385026737967,17.53570052747739,0,0,0,0,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.3,0,0,0,0,0,0,0.5,0.5,6098.522445086769,19.517727658332067,41.30832694936186,9.0,40.909090909090914,14.752314814814817,0,0,0,1,0,0,0.0,0.0,1,0,0,1
0,0,1,1,0.3,0,0,0,0,0,0,0.5,0.5,5556.84563504182,19.63738295065067,28.33777932342755,7.35,64.91978609625669,13.180281885960476,1,0,0,0,1,0,0.0,0.0,1,0,0,1
0,0,1,1,0.3,0,0,0,0,0,0,0.5,0.5,927.2371544164762,3.3153596825043667,26.428976367871577,4.2125,82.93544690603514,3.4622904481652568,0,0,1,1,0,0,0.0,0.0,1,0,0,1
0,0,1,1,0.3,0,0,0,0,0,0,0.5,0.5,10262.353317069046,32.84366319541922,25.45936684116484,18.0,81.81818181818183,23.3728296403923,1,0,0,1,0,0,0.0,0.0,1,0,0,1
0,0,1,1,0.3,0,0,0,0,0,0,0.5,0.5,7802.057066554315,26.67221892941336,21.09034483363937,10.25,66.44385026737967,17.53570052747739,0,0,0,0,0,0,0.0,0.0,1,0,0,1
0,0,1,0,0.3,1,0,0,1,1,0,0.5,0.5,6098.522445086769,19.517727658332067,41.30832694936186,9.0,40.909090909090914,14.752314814814817,0,0,0,1,0,0,0.0,0.0,1,0,0,1
0,0,1,0,0.3,1,0,0,1,1,0,0.5,0.5,5556.84563504182,19.63738295065067,28.33777932342755,7.35,64.91978609625669,13.180281885960476,1,0,0,0,1,0,0.0,0.0,1,0,0,1
0,0,1,0,0.3,1,0,0,1,1,0,0.5,0.5,927.2371544164762,3.3153596825043667,26.428976367871577,4.2125,82.93544690603514,3.4622904481652568,0,0,1,1,0,0,0.0,0.0,1,0,0,1
0,0,1,0,0.3,1,0,0,1,1,0,0.5,0.5,10262.353317069046,32.84366319541922,25.45936684116484,18.0,81.81818181818183,23.3728296403923,1,0,0,1,0,0,0.0,0.0,1,0,0,1
